id,Lst_1,Z-score,p-value,Lst_1_2,NDVISAMPLE,NDBISAMPLE
89674,60.867858886718750,-0.1073928045,0.9144773626,60.867858886718750,0.176989004015923,0.051502455025911
89677,60.748931884765625,-0.0805128707,0.9358293601,60.748931884765625,0.177641406655312,0.071374677121639
89676,60.695831298828125,-0.1136060788,0.9095500684,60.695831298828125,0.209474340081215,0.090194024145603
89679,61.526855468750000,0.0717512472,0.9427998718,61.526855468750000,0.246346548199654,0.119647137820721
89678,61.048858642578125,-0.0043998816,0.9964894137,61.048858642578125,0.212152794003487,0.085459962487221
89665,60.864227294921875,-0.0270907184,0.9783873777,60.864227294921875,0.218463018536568,0.096523977816105
89664,60.706817626953125,-0.1495561733,0.8811147878,60.706817626953125,0.201447427272797,0.073359623551369
89667,61.202270507812493,-0.0367084634,0.9707174604,61.202270507812493,0.160955667495728,0.001729223877192
89666,61.579650878906250,-0.0404771140,0.9677127525,61.579650878906250,0.174547776579857,-0.030955808237195
89669,60.836761474609375,-0.0995712388,0.9206847284,60.836761474609375,0.217079505324364,0.110567882657051
89668,60.510772705078125,-0.0890596580,0.9290344982,60.510772705078125,0.245771855115891,0.125690951943398
89671,60.547454833984375,-0.1250692695,0.9004687116,60.547454833984375,0.240410417318344,0.109299451112747
89670,61.162109375000000,-0.0942544909,0.9249069999,61.162109375000000,0.168814286589622,0.026874495670199
89689,60.464935302734375,-0.2900392984,0.7717861734,60.464935302734375,0.228037178516388,0.053548950701952
89688,59.858581542968750,-0.3403205679,0.7336151296,59.858581542968750,0.249101892113686,0.173641204833984
89691,60.448425292968750,-0.2295893117,0.8184109130,60.448425292968750,0.164642319083214,0.062921613454819
89690,60.450286865234375,-0.2111359724,0.8327811710,60.450286865234375,0.224713996052742,0.097239695489407
89693,60.527282714843750,-0.1658805479,0.8682509559,60.527282714843750,0.271726012229919,0.077288873493671
89692,60.433776855468750,-0.2386529400,0.8113747107,60.433776855468750,0.213560730218887,0.099205002188683
89695,61.041564941406250,-0.1018412653,0.9188826709,61.041564941406250,0.339504688978195,0.143698781728745
89694,61.154785156250000,-0.0409894924,0.9673042727,61.154785156250000,0.238061577081680,0.077480435371399
89681,60.503448486328125,-0.1813232090,0.8561138898,60.503448486328125,0.189287140965462,0.164582163095474
89680,61.331817626953125,-0.0410015446,0.9672946645,61.331817626953125,0.220868706703186,0.056195653975010
89683,61.328155517578125,0.0154121995,0.9877033308,61.328155517578125,0.243012905120850,0.074574358761311
89682,60.662872314453125,-0.1082997417,0.9137579275,60.662872314453125,0.163036525249481,0.115034125745296
89685,60.670196533203125,-0.1000640905,0.9202934438,60.670196533203125,0.196378707885742,0.055933088064194
89684,60.677520751953125,-0.0189496966,0.9848812345,60.677520751953125,0.240747377276421,0.091775923967361
89687,59.956146240234375,-0.3181850241,0.7503445920,59.956146240234375,0.272038221359253,0.146445602178574
89686,60.723297119140625,-0.2146351680,0.8300517728,60.723297119140625,0.135834828019142,0.009796423837543
89771,59.687286376953125,-0.6479877581,0.5169928682,59.687286376953125,0.197589755058289,0.145900070667267
89770,59.600646972656250,-0.5517571842,0.5811147254,59.600646972656250,0.197441190481186,0.126407325267792
89773,59.512115478515625,-0.5402257345,0.5890413673,59.512115478515625,0.261702299118042,0.120167113840580
89772,59.565612792968750,-0.5601058562,0.5754072362,59.565612792968750,0.200267583131790,0.104536183178425
89775,59.473358154296875,-0.6078610023,0.5432796662,59.473358154296875,0.274558126926422,0.145690143108368
89774,59.554534912109375,-0.5951559777,0.5517392136,59.554534912109375,0.239948019385338,0.108408361673355
89785,60.461273193359375,-0.2741137435,0.7839972124,60.461273193359375,0.232532665133476,0.086676090955734
89784,60.272247314453125,-0.2987239850,0.7651506548,60.272247314453125,0.250745534896851,0.106610566377640
89787,60.562103271484375,-0.2466561165,0.8051743712,60.562103271484375,0.154185414314270,0.108475580811501
89786,60.587768554687507,-0.2683553291,0.7884258210,60.587768554687507,0.242737561464310,0.073515459895134
89789,60.092224121093750,-0.3192759891,0.7495172386,60.092224121093750,0.233576044440269,0.090317450463772
89788,60.294311523437507,-0.2235808300,0.8230834816,60.294311523437507,0.280605554580688,0.099980093538761
89791,60.277770996093750,-0.3389894991,0.7346176408,60.277770996093750,0.281995326280594,0.134931862354279
89790,60.607910156250000,-0.3178662758,0.7505863748,60.607910156250000,0.252648562192917,0.099565349519253
89777,59.713104248046875,-0.4717305861,0.6371191025,59.713104248046875,0.257631838321686,0.081715792417526
89776,59.569305419921875,-0.5650296636,0.5720535879,59.569305419921875,0.254870593547821,0.087467499077320
89779,60.189605712890625,-0.3622414791,0.7171715855,60.189605712890625,0.257825523614883,0.090236686170101
89778,60.134490966796875,-0.4365379802,0.6624464493,60.134490966796875,0.255053699016571,0.076719842851162
89781,60.233703613281250,-0.3331720042,0.7390044495,60.233703613281250,0.206249997019768,0.064925506711006
89780,60.027862548828125,-0.3613230877,0.7178579364,60.027862548828125,0.208066850900650,0.102232940495014
89783,60.022369384765625,-0.3437604424,0.7310264516,60.022369384765625,0.251173228025436,0.100621029734612
89782,60.202484130859375,-0.3214647064,0.7478582542,60.202484130859375,0.246389359235764,0.082988545298576
89737,57.855743408203125,-1.2938442188,0.1957192354,57.855743408203125,-0.032738097012043,0.052032131701708
89736,57.874389648437507,-1.2907768705,0.1967810603,57.874389648437507,-0.031562656164169,0.051052853465080
89739,57.855743408203125,-1.2969114282,0.1946616639,57.855743408203125,-0.031790789216757,0.051077365875244
89738,57.848266601562493,-1.2951834347,0.1952569579,57.848266601562493,-0.031887263059616,0.051311288028955
89741,57.861358642578125,-1.2979933772,0.1942896108,57.861358642578125,-0.031826719641685,0.050731591880322
89740,57.833374023437507,-1.2934586330,0.1958524825,57.833374023437507,-0.032393820583820,0.050246424973011
89729,57.967590332031250,-1.1918477430,0.2333209516,57.967590332031250,-0.025245813652873,0.064175464212894
89728,58.133331298828125,-0.9357630953,0.3493951765,58.133331298828125,-0.020105034112930,0.065528377890587
89731,57.883697509765625,-1.2668318714,0.2052154133,57.883697509765625,-0.027559693902731,0.059587020426989
89730,57.930297851562493,-1.2578368948,0.2084507496,57.930297851562493,-0.025281948968768,0.064378686249256
89733,57.917266845703125,-1.2762182882,0.2018783655,57.917266845703125,-0.025984911248088,0.047035500407219
89732,57.948944091796875,-1.2767919826,0.2016756968,57.948944091796875,-0.022818027064204,0.041970804333687
89735,57.853881835937507,-1.2903944062,0.1969137533,57.853881835937507,-0.030035821720958,0.052128169685602
89734,57.893035888671875,-1.2831149820,0.1994517956,57.893035888671875,-0.028631554916501,0.051369655877352
89833,59.255432128906250,-0.6780875077,0.4977162109,59.255432128906250,0.182999521493912,0.141155049204826
89832,59.040893554687507,-0.7772172697,0.4370305950,59.040893554687507,0.194093391299248,0.118876472115517
89835,59.915649414062493,-0.4889538461,0.6248743728,59.915649414062493,0.214606553316116,0.098555520176888
89834,59.534240722656250,-0.5762730428,0.5644306408,59.534240722656250,0.205130428075790,0.072249211370945
89837,59.746246337890625,-0.4894029065,0.6245564788,59.746246337890625,0.269308149814606,0.106374368071556
89836,60.123474121093750,-0.4189878995,0.6752249758,60.123474121093750,0.244847863912582,0.110786668956280
89839,59.209228515625000,-0.8089924332,0.4185194987,59.209228515625000,0.245493456721306,0.085092552006245
89838,59.366271972656250,-0.6221561873,0.5338391719,59.366271972656250,0.311424821615219,0.160647228360176
89825,58.649963378906250,-0.9018735803,0.3671240273,58.649963378906250,0.288583546876907,0.158185318112373
89824,58.729705810546875,-0.8925304342,0.3721086876,58.729705810546875,0.288747936487198,0.159994214773178
